gpu_name,kernel_name,device,dtype,M,N,K,split_k_slices,swizzle,tb_m,tb_n,tb_k,iterations,warmup,status,error,latency_us,task_count,swizzle_log_tile,grid_m,grid_n,grid_k
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,33,1,Identity,128,128,32,10,2,ok,,6.7584,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,33,1,Identity2,128,128,32,10,2,ok,,6.2464,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,33,1,Identity4,128,128,32,10,2,ok,,7.7824,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,65,1,Identity,128,128,32,10,2,ok,,7.4752,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,65,1,Identity2,128,128,32,10,2,ok,,7.2768,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,65,1,Identity4,128,128,32,10,2,ok,,7.3728,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,127,1,Identity,128,128,32,10,2,ok,,9.216,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,127,1,Identity2,128,128,32,10,2,ok,,9.216,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,127,1,Identity4,128,128,32,10,2,ok,,9.0112,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,129,1,Identity,128,128,32,10,2,ok,,9.728,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,129,1,Identity2,128,128,32,10,2,ok,,9.8304,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,129,1,Identity4,128,128,32,10,2,ok,,9.8304,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,255,1,Identity,128,128,32,10,2,ok,,13.824,4,0,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,255,1,Identity2,128,128,32,10,2,ok,,13.6192,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,255,255,1,Identity4,128,128,32,10,2,ok,,13.7248,4,1,2,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,33,1,Identity,128,128,32,10,2,ok,,6.3488,6,0,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,33,1,Identity2,128,128,32,10,2,ok,,6.5536,6,1,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,33,1,Identity4,128,128,32,10,2,ok,,7.7824,6,2,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,65,1,Identity,128,128,32,10,2,ok,,7.4752,6,0,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,65,1,Identity2,128,128,32,10,2,ok,,7.4752,6,1,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,65,1,Identity4,128,128,32,10,2,ok,,7.3728,6,2,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,127,1,Identity,128,128,32,10,2,ok,,11.3664,6,0,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,127,1,Identity2,128,128,32,10,2,ok,,9.5232,6,1,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,127,1,Identity4,128,128,32,10,2,ok,,9.3184,6,2,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,129,1,Identity,128,128,32,10,2,ok,,9.728,6,0,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,129,1,Identity2,128,128,32,10,2,ok,,9.8304,6,1,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,129,1,Identity4,128,128,32,10,2,ok,,9.728,6,2,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,255,1,Identity,128,128,32,10,2,ok,,14.0288,6,0,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,255,1,Identity2,128,128,32,10,2,ok,,13.9264,6,1,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,257,255,1,Identity4,128,128,32,10,2,ok,,13.8208,6,2,2,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,33,1,Identity,128,128,32,10,2,ok,,6.144,8,0,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,33,1,Identity2,128,128,32,10,2,ok,,6.144,8,1,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,33,1,Identity4,128,128,32,10,2,ok,,6.5536,8,2,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,65,1,Identity,128,128,32,10,2,ok,,7.5776,8,0,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,65,1,Identity2,128,128,32,10,2,ok,,7.8848,8,1,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,65,1,Identity4,128,128,32,10,2,ok,,7.3728,8,2,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,127,1,Identity,128,128,32,10,2,ok,,9.1136,8,0,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,127,1,Identity2,128,128,32,10,2,ok,,9.216,8,1,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,127,1,Identity4,128,128,32,10,2,ok,,9.216,8,2,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,129,1,Identity,128,128,32,10,2,ok,,9.8304,8,0,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,129,1,Identity2,128,128,32,10,2,ok,,9.728,8,1,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,129,1,Identity4,128,128,32,10,2,ok,,9.8304,8,2,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,255,1,Identity,128,128,32,10,2,ok,,13.824,8,0,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,255,1,Identity2,128,128,32,10,2,ok,,13.824,8,1,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,511,255,1,Identity4,128,128,32,10,2,ok,,13.824,8,2,2,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,33,1,Identity,128,128,32,10,2,ok,,6.5536,10,0,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,33,1,Identity2,128,128,32,10,2,ok,,6.4512,10,1,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,33,1,Identity4,128,128,32,10,2,ok,,6.5536,10,2,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,65,1,Identity,128,128,32,10,2,ok,,7.7824,10,0,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,65,1,Identity2,128,128,32,10,2,ok,,7.2704,10,1,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,65,1,Identity4,128,128,32,10,2,ok,,7.4752,10,2,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,127,1,Identity,128,128,32,10,2,ok,,9.216,10,0,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,127,1,Identity2,128,128,32,10,2,ok,,9.2128,10,1,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,127,1,Identity4,128,128,32,10,2,ok,,9.4208,10,2,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,129,1,Identity,128,128,32,10,2,ok,,9.728,10,0,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,129,1,Identity2,128,128,32,10,2,ok,,9.728,10,1,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,129,1,Identity4,128,128,32,10,2,ok,,9.9328,10,2,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,255,1,Identity,128,128,32,10,2,ok,,13.9264,10,0,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,255,1,Identity2,128,128,32,10,2,ok,,14.0288,10,1,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,513,255,1,Identity4,128,128,32,10,2,ok,,13.824,10,2,2,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,33,1,Identity,128,128,32,10,2,ok,,6.4512,16,0,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,33,1,Identity2,128,128,32,10,2,ok,,7.5776,16,1,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,33,1,Identity4,128,128,32,10,2,ok,,6.5536,16,2,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,65,1,Identity,128,128,32,10,2,ok,,7.5776,16,0,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,65,1,Identity2,128,128,32,10,2,ok,,7.4752,16,1,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,65,1,Identity4,128,128,32,10,2,ok,,7.3728,16,2,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,127,1,Identity,128,128,32,10,2,ok,,9.4208,16,0,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,127,1,Identity2,128,128,32,10,2,ok,,9.216,16,1,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,127,1,Identity4,128,128,32,10,2,ok,,9.3216,16,2,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,129,1,Identity,128,128,32,10,2,ok,,9.7248,16,0,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,129,1,Identity2,128,128,32,10,2,ok,,9.6256,16,1,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,129,1,Identity4,128,128,32,10,2,ok,,9.6256,16,2,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,255,1,Identity,128,128,32,10,2,ok,,13.9264,16,0,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,255,1,Identity2,128,128,32,10,2,ok,,13.824,16,1,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1023,255,1,Identity4,128,128,32,10,2,ok,,13.9264,16,2,2,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,33,1,Identity,128,128,32,10,2,ok,,6.3488,18,0,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,33,1,Identity2,128,128,32,10,2,ok,,6.4512,18,1,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,33,1,Identity4,128,128,32,10,2,ok,,6.4512,18,2,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,65,1,Identity,128,128,32,10,2,ok,,7.4752,18,0,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,65,1,Identity2,128,128,32,10,2,ok,,7.4752,18,1,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,65,1,Identity4,128,128,32,10,2,ok,,7.4752,18,2,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,127,1,Identity,128,128,32,10,2,ok,,9.1136,18,0,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,127,1,Identity2,128,128,32,10,2,ok,,9.216,18,1,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,127,1,Identity4,128,128,32,10,2,ok,,9.216,18,2,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,129,1,Identity,128,128,32,10,2,ok,,9.728,18,0,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,129,1,Identity2,128,128,32,10,2,ok,,9.728,18,1,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,129,1,Identity4,128,128,32,10,2,ok,,9.6256,18,2,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,255,1,Identity,128,128,32,10,2,ok,,13.9264,18,0,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,255,1,Identity2,128,128,32,10,2,ok,,13.9264,18,1,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,255,1025,255,1,Identity4,128,128,32,10,2,ok,,13.824,18,2,2,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,33,1,Identity,128,128,32,10,2,ok,,7.168,6,0,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,33,1,Identity2,128,128,32,10,2,ok,,6.9632,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,33,1,Identity4,128,128,32,10,2,ok,,6.4512,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,65,1,Identity,128,128,32,10,2,ok,,7.5712,6,0,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,65,1,Identity2,128,128,32,10,2,ok,,8.3968,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,65,1,Identity4,128,128,32,10,2,ok,,7.4752,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,127,1,Identity,128,128,32,10,2,ok,,9.216,6,0,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,127,1,Identity2,128,128,32,10,2,ok,,9.4208,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,127,1,Identity4,128,128,32,10,2,ok,,9.3184,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,129,1,Identity,128,128,32,10,2,ok,,9.728,6,0,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,129,1,Identity2,128,128,32,10,2,ok,,9.8304,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,129,1,Identity4,128,128,32,10,2,ok,,9.8304,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,255,1,Identity,128,128,32,10,2,ok,,14.1312,6,0,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,255,1,Identity2,128,128,32,10,2,ok,,13.9264,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,255,255,1,Identity4,128,128,32,10,2,ok,,13.9264,6,1,3,2,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,33,1,Identity,128,128,32,10,2,ok,,7.68,9,0,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,33,1,Identity2,128,128,32,10,2,ok,,6.3488,9,1,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,33,1,Identity4,128,128,32,10,2,ok,,6.5536,9,2,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,65,1,Identity,128,128,32,10,2,ok,,7.4752,9,0,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,65,1,Identity2,128,128,32,10,2,ok,,7.4752,9,1,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,65,1,Identity4,128,128,32,10,2,ok,,7.5776,9,2,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,127,1,Identity,128,128,32,10,2,ok,,9.0112,9,0,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,127,1,Identity2,128,128,32,10,2,ok,,9.1136,9,1,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,127,1,Identity4,128,128,32,10,2,ok,,9.1136,9,2,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,129,1,Identity,128,128,32,10,2,ok,,9.728,9,0,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,129,1,Identity2,128,128,32,10,2,ok,,9.8304,9,1,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,129,1,Identity4,128,128,32,10,2,ok,,9.8304,9,2,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,255,1,Identity,128,128,32,10,2,ok,,14.1312,9,0,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,255,1,Identity2,128,128,32,10,2,ok,,14.0288,9,1,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,257,255,1,Identity4,128,128,32,10,2,ok,,14.0288,9,2,3,3,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,33,1,Identity,128,128,32,10,2,ok,,9.0112,12,0,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,33,1,Identity2,128,128,32,10,2,ok,,6.4512,12,1,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,33,1,Identity4,128,128,32,10,2,ok,,6.4512,12,2,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,65,1,Identity,128,128,32,10,2,ok,,7.3728,12,0,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,65,1,Identity2,128,128,32,10,2,ok,,12.0768,12,1,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,65,1,Identity4,128,128,32,10,2,ok,,7.3728,12,2,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,127,1,Identity,128,128,32,10,2,ok,,9.216,12,0,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,127,1,Identity2,128,128,32,10,2,ok,,9.216,12,1,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,127,1,Identity4,128,128,32,10,2,ok,,9.216,12,2,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,129,1,Identity,128,128,32,10,2,ok,,9.8208,12,0,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,129,1,Identity2,128,128,32,10,2,ok,,9.728,12,1,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,129,1,Identity4,128,128,32,10,2,ok,,9.728,12,2,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,255,1,Identity,128,128,32,10,2,ok,,14.9504,12,0,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,255,1,Identity2,128,128,32,10,2,ok,,13.824,12,1,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,511,255,1,Identity4,128,128,32,10,2,ok,,13.9264,12,2,3,4,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,33,1,Identity,128,128,32,10,2,ok,,7.7824,15,0,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,33,1,Identity2,128,128,32,10,2,ok,,6.3488,15,1,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,33,1,Identity4,128,128,32,10,2,ok,,8.704,15,2,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,65,1,Identity,128,128,32,10,2,ok,,7.3728,15,0,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,65,1,Identity2,128,128,32,10,2,ok,,7.4752,15,1,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,65,1,Identity4,128,128,32,10,2,ok,,7.4752,15,2,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,127,1,Identity,128,128,32,10,2,ok,,9.4208,15,0,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,127,1,Identity2,128,128,32,10,2,ok,,9.216,15,1,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,127,1,Identity4,128,128,32,10,2,ok,,9.1136,15,2,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,129,1,Identity,128,128,32,10,2,ok,,9.6256,15,0,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,129,1,Identity2,128,128,32,10,2,ok,,9.728,15,1,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,129,1,Identity4,128,128,32,10,2,ok,,9.728,15,2,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,255,1,Identity,128,128,32,10,2,ok,,13.9264,15,0,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,255,1,Identity2,128,128,32,10,2,ok,,13.824,15,1,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,513,255,1,Identity4,128,128,32,10,2,ok,,14.0288,15,2,3,5,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,33,1,Identity,128,128,32,10,2,ok,,7.9872,24,0,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,33,1,Identity2,128,128,32,10,2,ok,,6.5536,24,1,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,33,1,Identity4,128,128,32,10,2,ok,,6.2464,24,2,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,65,1,Identity,128,128,32,10,2,ok,,7.4752,24,0,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,65,1,Identity2,128,128,32,10,2,ok,,7.2704,24,1,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,65,1,Identity4,128,128,32,10,2,ok,,7.3696,24,2,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,127,1,Identity,128,128,32,10,2,ok,,9.0112,24,0,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,127,1,Identity2,128,128,32,10,2,ok,,9.8304,24,1,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,127,1,Identity4,128,128,32,10,2,ok,,9.1136,24,2,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,129,1,Identity,128,128,32,10,2,ok,,9.6256,24,0,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,129,1,Identity2,128,128,32,10,2,ok,,9.6256,24,1,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,129,1,Identity4,128,128,32,10,2,ok,,9.728,24,2,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,255,1,Identity,128,128,32,10,2,ok,,13.9264,24,0,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,255,1,Identity2,128,128,32,10,2,ok,,13.9264,24,1,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1023,255,1,Identity4,128,128,32,10,2,ok,,14.0288,24,2,3,8,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,33,1,Identity,128,128,32,10,2,ok,,6.4512,27,0,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,33,1,Identity2,128,128,32,10,2,ok,,6.3488,27,1,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,33,1,Identity4,128,128,32,10,2,ok,,6.2464,27,2,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,65,1,Identity,128,128,32,10,2,ok,,7.3728,27,0,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,65,1,Identity2,128,128,32,10,2,ok,,7.2704,27,1,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,65,1,Identity4,128,128,32,10,2,ok,,7.4752,27,2,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,127,1,Identity,128,128,32,10,2,ok,,9.216,27,0,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,127,1,Identity2,128,128,32,10,2,ok,,9.0112,27,1,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,127,1,Identity4,128,128,32,10,2,ok,,9.1136,27,2,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,129,1,Identity,128,128,32,10,2,ok,,9.728,27,0,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,129,1,Identity2,128,128,32,10,2,ok,,9.728,27,1,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,129,1,Identity4,128,128,32,10,2,ok,,9.728,27,2,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,255,1,Identity,128,128,32,10,2,ok,,13.824,27,0,3,9,1
RTX 4090,cutlass_tensorop_gemm,0,f16,257,1025,255,1,Identity2,128,128,32,10,2,ok,,14.0288,27,1,3,9,1
